ID,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
4262,2007,0.02,0,0,0,0.02,79,15,7.2,63
5454,2008,0.02,0,0,0,0.02,62,12,6.4,5
6900,2008,0.02,0,0,0,0.02,35,10,4,6
6818,2008,0.02,0,0,0,0.02,40,21,4.3,4
7170,2009,0.02,0,0,0,0.02,39,8,2.2,5
2159,2009,0.02,0,0,0,0.02,63,9,8.1,8
4434,2009,0.02,0,0,0,0.02,71,27,7.1,38
7074,2009,0.02,0,0,0,0.02,39,11,3.1,61
4433,2010,0.02,0,0,0,0.02,63,17,7.1,72
4091,2011,0.02,0,0,0,0.02,81,26,7.3,399
4962,2011,0.02,0,0,0,0.02,67,21,6.8,29
3415,2011,0.02,0,0,0,0.02,51,8,7.6,47
4092,2012,0.02,0,0,0,0.02,62,11,7.3,12
5693,2015,0.02,0,0,0,0.02,63,4,6.2,5
2419,2015,0.02,0,0,0.01,0.04,71,24,8,30
6688,2016,0.02,0,0,0,0.02,55,19,4.7,34
6848,2016,0.02,0,0,0,0.02,55,13,4.2,94
1209,2016,0.02,0,0,0,0.02,79,9,8.5,15
2981,2016,0.02,0,0,0,0.03,57,11,7.8,9
1917,2005,0.03,0,0,0,0.03,47,27,8.2,12
1417,2005,0.03,0,0,0,0.03,89,53,8.4,455
6752,2006,0.03,0,0,0,0.03,39,11,4.5,4
4254,2006,0.03,0,0,0,0.04,71,7,7.2,6
2420,2006,0.03,0,0,0,0.03,41,4,8,6
4427,2006,0.03,0,0,0,0.03,69,18,7.1,7
6057,2006,0.03,0,0,0,0.03,56,6,5.8,6
5770,2006,0.03,0,0,0,0.03,58,17,6.1,7
5450,2006,0.03,0,0,0,0.03,70,18,6.4,8
3856,2006,0.03,0,0,0,0.04,39,4,7.4,10
6617,2006,0.03,0,0,0,0.03,48,35,4.9,18
6753,2006,0.03,0,0,0,0.03,66,16,4.5,4
1205,2006,0.03,0,0,0,0.03,81,16,8.5,6
5887,2006,0.03,0,0,0,0.03,63,14,6,7
6661,2007,0.03,0,0,0,0.04,50,12,4.8,4
3651,2007,0.03,0,0,0,0.03,75,18,7.5,8
2976,2007,0.03,0,0,0,0.03,79,21,7.8,18
6054,2007,0.03,0,0,0,0.04,52,7,5.8,5
6722,2007,0.03,0,0,0,0.04,37,14,4.6,7
6516,2007,0.03,0,0,0,0.04,59,8,5.1,7
5349,2007,0.03,0,0,0,0.03,55,35,6.5,6
3206,2007,0.03,0,0,0,0.04,50,26,7.7,9
1413,2007,0.03,0,0,0,0.04,75,15,8.4,19
2418,2007,0.03,0,0,0,0.04,72,27,8,25
6347,2008,0.03,0,0,0,0.03,31,7,5.4,11
1908,2008,0.03,0,0,0,0.04,67,30,8.2,29
4078,2008,0.03,0,0,0,0.04,68,15,7.3,8
4775,2009,0.03,0,0,0,0.04,44,16,6.9,19
5769,2009,0.03,0,0,0,0.04,67,22,6.1,9
5448,2010,0.03,0,0,0,0.04,66,18,6.4,34
4258,2010,0.03,0,0,0,0.03,60,5,7.2,5
6058,2010,0.03,0,0,0,0.03,59,14,5.8,162
5231,2011,0.03,0,0,0,0.03,73,11,6.6,17
589,2012,0.03,0,0,0,0.03,88,15,8.8,188
6348,2014,0.03,0,0,0,0.03,64,15,5.4,59
2147,2014,0.03,0,0,0.01,0.04,80,20,8.1,46
6053,2015,0.03,0,0,0,0.04,46,4,5.8,10
6213,2015,0.03,0,0,0,0.04,45,7,5.6,37
5582,2016,0.03,0,0,0,0.03,73,12,6.3,15
2416,2016,0.03,0,0,0,0.04,75,5,8,6
4779,2016,0.03,0,0,0.01,0.03,77,15,6.9,15
1641,2016,0.03,0,0,0.01,0.04,72,26,8.3,19
5682,2005,0.04,0,0,0,0.05,38,19,6.2,6
3646,2006,0.04,0,0,0,0.04,43,5,7.5,4
7204,2006,0.04,0,0,0,0.05,34,8,1.7,6
2959,2006,0.04,0,0,0,0.05,74,19,7.8,6
2962,2006,0.04,0,0,0,0.05,76,7,7.8,4
6133,2006,0.04,0,0,0,0.04,65,15,5.7,7
4071,2006,0.04,0,0,0,0.05,64,29,7.3,13
2966,2006,0.04,0,0,0,0.05,50,11,7.8,6
5768,2006,0.04,0,0,0,0.04,60,33,6.1,7
2141,2006,0.04,0,0,0,0.05,57,28,8.1,8
7167,2006,0.04,0,0,0,0.04,34,41,2.2,42
7228,2007,0.04,0,0,0,0.05,32,13,0.7,6
6660,2007,0.04,0,0,0,0.04,35,8,4.8,13
4076,2007,0.04,0,0,0,0.04,75,30,7.3,23
7095,2007,0.04,0,0,0,0.05,39,4,3,4
3409,2007,0.04,0,0,0,0.04,67,9,7.6,9
6749,2008,0.04,0,0,0,0.05,37,9,4.5,4
2972,2008,0.04,0,0,0,0.04,37,4,7.8,5
4248,2008,0.04,0,0,0,0.05,41,5,7.2,6
6751,2008,0.04,0,0,0,0.04,42,16,4.5,6
1639,2008,0.04,0,0,0,0.04,50,7,8.3,6
3204,2008,0.04,0,0,0,0.04,69,23,7.7,21
2964,2008,0.04,0,0,0.01,0.05,57,14,7.8,12
4422,2008,0.04,0,0,0,0.04,42,14,7.1,13
5969,2008,0.04,0,0,0,0.05,56,14,5.9,15
5686,2008,0.04,0,0,0,0.04,48,33,6.2,18
6415,2009,0.04,0,0,0,0.05,62,5,5.3,4
3848,2009,0.04,0,0,0,0.05,71,45,7.4,21
5571,2010,0.04,0,0,0,0.05,69,20,6.3,4
955,2010,0.04,0,0,0,0.04,70,10,8.6,7
6659,2010,0.04,0,0,0,0.05,48,7,4.8,4
7205,2010,0.04,0,0,0,0.04,38,8,1.7,10
6615,2012,0.04,0,0,0.01,0.04,62,19,4.9,22
5577,2012,0.04,0,0,0,0.04,37,5,6.3,4
7026,2013,0.04,0,0,0.01,0.05,79,51,3.4,3558
6939,2016,0.04,0,0,0.01,0.05,66,8,3.8,18
7005,2016,0.04,0,0,0.01,0.05,52,64,3.5,282
5572,2016,0.04,0,0,0,0.05,63,12,6.3,34
4628,2005,0.05,0,0,0,0.06,58,10,7,5
3842,2005,0.05,0,0,0,0.06,66,41,7.4,17
3195,2005,0.05,0,0,0,0.06,71,43,7.7,19
3196,2005,0.05,0,0,0,0.06,60,29,7.7,18
2947,2006,0.05,0,0,0.01,0.06,78,36,7.8,8
947,2006,0.05,0,0,0,0.06,70,29,8.6,5
4767,2006,0.05,0,0,0,0.06,60,33,6.9,16
3403,2006,0.05,0,0,0.01,0.06,73,41,7.6,9
6052,2006,0.05,0,0,0,0.05,60,25,5.8,9
4069,2006,0.05,0,0,0,0.05,68,34,7.3,9
3402,2007,0.05,0,0,0,0.06,81,10,7.6,8
7124,2007,0.05,0,0,0,0.05,26,14,2.8,11
6978,2007,0.05,0,0,0,0.05,30,4,3.6,20
6658,2007,0.05,0,0,0,0.05,43,16,4.8,5
3843,2007,0.05,0,0,0,0.06,52,6,7.4,12
2644,2007,0.05,0,0,0,0.06,65,18,7.9,13
5764,2007,0.05,0,0,0,0.06,35,11,6.1,21
4413,2007,0.05,0,0,0,0.06,48,24,7.1,23
5221,2007,0.05,0,0,0.01,0.06,56,20,6.6,28
4949,2008,0.05,0,0,0,0.05,67,24,6.8,12
4631,2008,0.05,0,0,0,0.05,60,16,7,8
2400,2008,0.05,0,0,0,0.06,61,6,8,8
7003,2008,0.05,0,0,0,0.06,30,15,3.5,36
6748,2008,0.05,0,0,0,0.05,51,19,4.5,4
1898,2008,0.05,0,0,0,0.06,74,6,8.2,5
5765,2008,0.05,0,0,0,0.06,52,23,6.1,7
7042,2008,0.05,0,0,0,0.06,29,16,3.3,30
3641,2009,0.05,0,0,0,0.05,58,24,7.5,20
1897,2009,0.05,0,0,0,0.06,78,39,8.2,26
5882,2009,0.05,0,0,0,0.05,58,7,6,5
6272,2009,0.05,0,0,0,0.05,42,7,5.5,8
5224,2010,0.05,0,0,0,0.05,33,4,6.6,15
5342,2010,0.05,0,0,0,0.05,50,6,6.5,4
5570,2010,0.05,0,0,0,0.05,49,11,6.3,12
6512,2010,0.05,0,0,0,0.05,63,13,5.1,48
6876,2011,0.05,0,0,0,0.05,66,7,4.1,9
4766,2016,0.05,0,0,0.01,0.06,66,12,6.9,20
4066,2005,0.06,0,0,0,0.06,72,30,7.3,8
6206,2005,0.06,0,0,0,0.07,35,6,5.6,11
3837,2005,0.06,0,0,0.01,0.07,61,23,7.4,14
4621,2005,0.06,0,0,0.01,0.07,50,22,7,25
6718,2006,0.06,0,0,0.01,0.07,32,11,4.6,10
566,2006,0.06,0,0,0,0.07,57,18,8.8,4
6207,2006,0.06,0,0,0.01,0.07,49,5,5.6,7
4627,2006,0.06,0,0,0,0.06,63,36,7,12
3836,2006,0.06,0,0,0.01,0.07,55,8,7.4,8
5445,2006,0.06,0,0,0,0.06,72,11,6.4,15
2946,2007,0.06,0,0,0,0.06,55,14,7.8,4
4625,2007,0.06,0,0,0,0.06,61,29,7,5
3835,2007,0.06,0,0,0,0.07,82,20,7.4,20
7135,2007,0.06,0,0,0,0.07,19,5,2.7,28
6685,2007,0.06,0,0,0,0.06,35,7,4.7,10
5567,2007,0.06,0,0,0,0.07,65,16,6.3,4
6656,2007,0.06,0,0,0,0.06,37,14,4.8,5
2399,2008,0.06,0,0,0,0.06,59,9,8,5
5875,2008,0.06,0,0,0,0.07,64,24,6,9
4626,2008,0.06,0,0,0,0.06,55,23,7,5
4063,2008,0.06,0,0,0.01,0.07,73,19,7.3,8
6344,2008,0.06,0,0,0,0.06,65,11,5.4,19
7136,2008,0.06,0,0,0.01,0.07,33,19,2.7,16
2390,2008,0.06,0,0,0,0.07,73,18,8,4
4409,2008,0.06,0,0,0,0.07,54,37,7.1,15
3636,2008,0.06,0,0,0,0.06,78,20,7.5,30
6717,2009,0.06,0,0,0.01,0.07,47,13,4.6,10
7159,2009,0.06,0,0,0,0.06,41,4,2.4,5
1892,2009,0.06,0,0,0.01,0.07,70,14,8.2,5
5876,2010,0.06,0,0,0,0.07,57,11,6,25
2398,2011,0.06,0,0,0,0.06,79,15,8,15
944,2011,0.06,0,0,0,0.07,47,4,8.6,9
